"Feature"	"Gain"	"Cover"	"Frequency"
"1"	"mcaja_ahorro_Paquete"	0.112433859243062	0.0160641608717791	0.00521200169037893
"2"	"mcuentas_saldo"	0.0754802155209273	0.0190849804752507	0.00922665164107621
"3"	"mdescubierto_preacordado__tend"	0.0737254065217458	0.00646666866291561	0.00323989294266798
"4"	"tmovimientos_ultimos90dias"	0.0656215779943796	0.0122913541098378	0.00676151570643753
"5"	"cliente_antiguedad__tend"	0.0475263559207066	0.0392153415319425	0.00795886744611917
"6"	"mtarjeta_visa_consumo"	0.0464889731389775	0.0166270631962961	0.00584589378785744
"7"	"mpasivos_margen"	0.0456727720352255	0.00871519055525178	0.00485983941400197
"8"	"Visa_Finiciomora"	0.0265324224312708	0.00658791201638295	0.00563459642203127
"9"	"marketing_coss_selling"	0.0250934730148133	0.00557491224105582	0.00605719115368362
"10"	"mprestamos_personales"	0.0239881219910528	0.0231534210284077	0.0120439498520918
"11"	"ttarjeta_visa__min"	0.0207893735568065	0.000759379071156454	0.000352162276376955
"12"	"tplan_sueldo"	0.015353216207607	0.0157838923066536	0.00514156923510354
"13"	"ctarjeta_visa_transacciones"	0.0149792786980014	0.00569157234538975	0.00436681222707424
"14"	"Visa_cuenta_estado__tend"	0.0138066062404247	0.00727519403741864	0.00359205521904494
"15"	"mcuenta_corriente_Paquete"	0.0119545372825799	0.00715315535406785	0.0100718411043809
"16"	"tmovimientos_ultimos90dias__min"	0.0110625412786614	0.00263029998238283	0.00359205521904494
"17"	"ttarjeta_visa__tend"	0.0109365636907703	0.00246705424132852	0.00204254120298634
"18"	"mplan_sueldo"	0.00886623188123925	0.0220812802404174	0.00725454289336526
"19"	"tmovimientos_ultimos90dias__tend"	0.00828270772290322	0.00958537935694488	0.00950838146217777
"20"	"Visa_mpagospesos"	0.00779726471604737	0.000537014364274104	0.00422594731652345
"21"	"marketing_coss_selling__tend"	0.00779557992246658	0.0157130816971673	0.00605719115368362
"22"	"Visa_Finiciomora__tend"	0.00714875524437827	0.00168604447335186	0.00119735173968165
"23"	"mautoservicio"	0.00703375054109681	0.00789483935552408	0.00345119030849415
"24"	"Visa_marca_atraso__tend"	0.0068424242816341	0.00221835968917299	0.00394421749542189
"25"	"mplan_sueldo__tend"	0.00600638807969436	0.0160958005380749	0.00781800253556839
"26"	"Visa_mpagominimo"	0.00595515604013535	0.00845702890492604	0.00922665164107621
"27"	"mcuentas_saldo__tend"	0.00594682644450339	0.00842771116434272	0.00725454289336526
"28"	"Visa_marca_atraso__max"	0.00589823438661066	0.00248299211311553	0.00169037892660938
"29"	"tplan_sueldo__min"	0.00482095285782083	0.00137222639232968	0.00133821665023243
"30"	"Visa_msaldototal"	0.00481138712484048	0.00179921720359627	0.00352162276376954
"31"	"mprestamos_personales__tend"	0.00451670436797129	0.00512520375256318	0.00605719115368362
"32"	"mactivos_margen__min"	0.00437127323268279	0.00672143047152599	0.00507113677982815
"33"	"mcuenta_corriente_Paquete__tend"	0.00414748934715097	0.00248601353824904	0.00633892097478518
"34"	"Visa_marca_atraso"	0.00410715956051081	0.0019537658037104	0.00119735173968165
"35"	"Master_Finiciomora"	0.00384466542473018	0.00585644639017735	0.00528243414565432
"36"	"Visa_msaldopesos"	0.00369989095318696	0.00507294927520361	0.00471897450345119
"37"	"mprestamos_personales__min"	0.00355151136797163	0.00371663041991634	0.00415551486124806
"38"	"ttarjeta_visa"	0.00351537490395434	0.000420537088285481	0.000563459642203127
"39"	"Master_cuenta_estado"	0.00343587376326046	0.00132892843410202	0.00183124383716016
"40"	"mcomisiones_mantenimiento__tend"	0.00337723396421027	0.00499630391946209	0.00859275954359769
"41"	"mdescubierto_preacordado__max"	0.00327901255699054	0.00488207210418135	0.00204254120298634
"42"	"ccomisiones_mantenimiento__tend"	0.00325948050150644	0.00559404657046418	0.00626848851950979
"43"	"Visa_cuenta_estado__max"	0.00308969851687098	0.00130921347205469	0.00126778419495704
"44"	"cprestamos_personales__tend"	0.00296445581064723	0.00190114804199091	0.00119735173968165
"45"	"mttarjeta_visa_debitos_automaticos__tend"	0.0028548725392854	0.00727440990113389	0.0061980560642344
"46"	"Visa_mpagominimo__max"	0.00283434722902805	0.00250565284344726	0.00471897450345119
"47"	"mplan_sueldo__max"	0.0025527619320589	0.00314039213259149	0.00450767713762502
"48"	"mcuenta_corriente_Paquete__min"	0.0024975063860712	0.00948427965529238	0.00739540780391604
"49"	"cprestamos_personales"	0.00243096088895962	0.00151810206598874	0.00288773066629103
"50"	"mplan_sueldo__min"	0.00239885157901436	0.00366725620948041	0.0023242710240879
"51"	"Visa_cuenta_estado"	0.00232674933625421	0.000807199805637473	0.00169037892660938
"52"	"mcaja_ahorro_Paquete__min"	0.00232344376203205	0.00155135052728942	0.0030990280321172
"53"	"mrentabilidad"	0.00227820297560365	0.00252346181992012	0.00394421749542189
"54"	"ccallcenter_transacciones"	0.00210225326658238	0.00807914944463549	0.0046485420481758
"55"	"ctarjeta_visa_transacciones__tend"	0.00205829487574564	0.0045359658276354	0.00514156923510354
"56"	"mcomisiones_mantenimiento__max"	0.00204850256337387	0.0027756885870751	0.00253556838991407
"57"	"mtarjeta_master_consumo"	0.00204336680289	0.00611189160166516	0.00211297365826173
"58"	"ttarjeta_master"	0.00202487703568969	2.80619642859862e-05	0.000140864910550782
"59"	"Visa_mpagominimo__tend"	0.00201943101568451	0.00213706099687502	0.00507113677982815
"60"	"foto_mes"	0.00200589280563081	0.013229146128022	0.00633892097478518
"61"	"tcaja_seguridad"	0.00197027503159082	0.0117262143015562	0.00218340611353712
"62"	"mactivos_margen__max"	0.00196783507138668	0.00214333529043855	0.00485983941400197
"63"	"mcuentas_saldo__min"	0.00194073037342087	0.00658396052732667	0.00429637977179884
"64"	"mcomisiones_mantenimiento"	0.0019352191213106	0.00788165053829867	0.00570502887730666
"65"	"Visa_tconsumos__tend"	0.00193145359802066	0.00390779765833722	0.00633892097478518
"66"	"mrentabilidad__min"	0.00191862884430657	0.00329197991990384	0.00457810959290041
"67"	"marketing_coss_selling__max"	0.00190847357507832	0.000255961108152963	0.00246513593463868
"68"	"mpagomiscuentas"	0.00188830867902774	0.0100704900641664	0.00204254120298634
"69"	"mactivos_margen"	0.00181265174643564	0.00236550530008819	0.00422594731652345
"70"	"Master_marca_atraso__tend"	0.00179230232322208	0.00158203093086946	0.00331032539794337
"71"	"tplan_sueldo__tend"	0.0016864843342917	0.00219081972362871	0.00302859557684181
"72"	"tplazo_fijo"	0.00166850144262646	0.0162190548489494	0.00274686575574024
"73"	"marketing_coss_selling__min"	0.00164061640042691	0.000624770968670093	0.00281729821101564
"74"	"Visa_mpagospesos__tend"	0.00162222519597535	0.00623636129778634	0.0054232990562051
"75"	"ttarjeta_master__tend"	0.00147156858105657	0.000570410325903174	0.000352162276376955
"76"	"mrentabilidad_annual__tend"	0.00139832632135467	0.0029975696626478	0.00655021834061135
"77"	"mttarjeta_visa_debitos_automaticos__max"	0.00136043029915916	0.00122151683154246	0.00323989294266798
"78"	"ttarjeta_visa_debitos_automaticos__tend"	0.00133866646339214	0.00242967530338094	0.00316946048739259
"79"	"tcaja_seguridad__min"	0.00132821630642721	0.0127630257410835	0.00211297365826173
"80"	"mrentabilidad__tend"	0.0013033274096192	0.00121013395079359	0.00570502887730666
"81"	"chomebanking_transacciones"	0.00129787484646643	0.0090317051943316	0.00485983941400197
"82"	"mactivos_margen__tend"	0.00128188440015072	0.0011862412076338	0.00485983941400197
"83"	"ccallcenter_transacciones__tend"	0.00127661763497801	0.000773221819513798	0.00345119030849415
"84"	"mprestamos_personales__max"	0.00126998723770274	0.00125506483241184	0.00281729821101564
"85"	"tpagomiscuentas__tend"	0.00124711573860059	0.0103036110513983	0.00521200169037893
"86"	"chomebanking_transacciones__tend"	0.00123676241724208	0.00354844252223808	0.00485983941400197
"87"	"mpasivos_margen__tend"	0.0012319704584699	0.000486917958760927	0.00373292012959572
"88"	"ccomisiones_otras__tend"	0.00121448260122075	0.00201224091528567	0.00373292012959572
"89"	"mrentabilidad_annual__min"	0.00119879261619023	0.00304941968190082	0.00352162276376954
"90"	"mcaja_ahorro_Paquete__tend"	0.00118336477832595	0.0011179921915928	0.0038737850401465
"91"	"Visa_mfinanciacion_limite"	0.00116833688859217	0.00188304898446105	0.00380335258487111
"92"	"ctarjeta_visa_transacciones__min"	0.00114896142344873	0.00145352585590504	0.00197210874771095
"93"	"ccheques_emitidos_rechazados__max"	0.00112766313450896	0.00361821651259412	0.00274686575574024
"94"	"mtarjeta_visa_consumo__tend"	0.00110455557835385	0.00236909709512843	0.00274686575574024
"95"	"Visa_msaldopesos__tend"	0.0010984732149456	0.000845407182788194	0.00457810959290041
"96"	"Master_mpagominimo"	0.00109002730433317	0.00329936480056752	0.00345119030849415
"97"	"mcaja_ahorro_Paquete__max"	0.00108012912994765	0.00393517824096649	0.0046485420481758
"98"	"mrentabilidad_annual__max"	0.00107626697564343	0.00353160494638895	0.00401464995069728
"99"	"chomebanking_transacciones__max"	0.00107022715950611	0.00553808710941758	0.0038737850401465
"100"	"Master_mpagospesos"	0.00105339134715928	0.00365774648615793	0.0023242710240879
"101"	"mcuenta_corriente_Paquete__max"	0.0010393456081699	0.00295955911164377	0.00471897450345119
"102"	"Visa_mpagospesos__max"	0.00102135012791246	0.00160051258204006	0.00422594731652345
"103"	"internet"	0.00100502309082607	0.00168045348207136	0.00190167629243555
"104"	"mcaja_ahorro_dolares__max"	0.00098829014284773	0.00491428260046891	0.00302859557684181
"105"	"tcuenta_debitos_automaticos__tend"	0.000976488273800149	0.00408586762993264	0.00359205521904494
"106"	"cliente_edad__min"	0.000970917147300934	0.00215508703419898	0.00478940695872658
"107"	"cliente_edad"	0.000934917637308224	0.00495499646497812	0.0054232990562051
"108"	"mdescubierto_preacordado__min"	0.000931520898970169	0.00187272980544195	0.00161994647133399
"109"	"mcomisiones__tend"	0.000887420866757528	0.000409908345270847	0.00359205521904494
"110"	"Visa_fultimo_cierre"	0.000883230960354761	0.000842022675006346	0.00373292012959572
"111"	"mcomisiones__max"	0.000877506025112487	0.000249356756857616	0.00373292012959572
"112"	"tcaja_ahorro"	0.000870526552841753	0.00147680958511514	0.0023242710240879
"113"	"mcuentas_saldo__max"	0.000864099484571549	0.00140182987038896	0.0023242710240879
"114"	"Visa_msaldototal__tend"	0.000854083025428185	0.000394537971341265	0.00246513593463868
"115"	"Master_mpagospesos__tend"	0.000846996155058119	0.00237639840092985	0.00422594731652345
"116"	"Visa_Fvencimiento__max"	0.000843702330360841	0.00351742998326859	0.00359205521904494
"117"	"mdescubierto_preacordado"	0.00083904028752472	0.00218779981415658	0.00190167629243555
"118"	"Visa_fechaalta__min"	0.000834919836742026	0.00339401961019786	0.00281729821101564
"119"	"mrentabilidad__max"	0.000834794553229	0.000886771157681139	0.00352162276376954
"120"	"Master_Fvencimiento"	0.00082679496971613	0.000914454119795789	0.00450767713762502
"121"	"Visa_fechaalta"	0.000814073941927495	0.000799307641021348	0.00380335258487111
"122"	"Visa_mfinanciacion_limite__min"	0.000811970899876933	0.000163856811944062	0.00204254120298634
"123"	"Visa_fultimo_cierre__tend"	0.000811666970689087	0.000797186395723614	0.00485983941400197
"124"	"mcuenta_debitos_automaticos"	0.000787864396262627	0.00635178081451969	0.00225383856881251
"125"	"Visa_Finiciomora__max"	0.00078107176769611	0.00088934246300157	0.00211297365826173
"126"	"Master_fultimo_cierre__tend"	0.000757059300448308	0.00117436641871679	0.00394421749542189
"127"	"Visa_Fvencimiento"	0.000742375207749218	0.000438060798003949	0.00422594731652345
"128"	"thomebanking"	0.00073521226528124	0.000844574536828719	0.00133821665023243
"129"	"Visa_tconsumos"	0.000729023653233953	0.00195929198557662	0.00302859557684181
"130"	"mcaja_ahorro_dolares__min"	0.000726686962032859	0.00669067261943022	0.00316946048739259
"131"	"tcajas_consultas__tend"	0.000717683840899976	0.00247455382515533	0.00394421749542189
"132"	"ccomisiones_otras__max"	0.000710638813445878	0.000388246925480014	0.00373292012959572
"133"	"tmovimientos_ultimos90dias__max"	0.000708942094061897	0.00175339421361595	0.00267643330046485
"134"	"mcomisiones_otras__tend"	0.000708714685811857	0.00113304696388366	0.0030990280321172
"135"	"mpasivos_margen__min"	0.000695667278044609	0.00634674547455023	0.00373292012959572
"136"	"mextraccion_autoservicio__tend"	0.000692760073572646	0.00315184546697939	0.00302859557684181
"137"	"internet__tend"	0.000681391080959829	0.000631811331296315	0.00281729821101564
"138"	"mcuenta_debitos_automaticos__tend"	0.000680787717704727	0.00540389584199662	0.0030990280321172
"139"	"Visa_mlimitecompra"	0.00067893956883047	0.000758594516160783	0.00295816312156642
"140"	"mrentabilidad_annual"	0.000675255137508699	0.000475461027785812	0.00316946048739259
"141"	"Visa_fechaalta__max"	0.000673504424219203	0.000849596740576715	0.00183124383716016
